Sr. No,Name of company,Manufacturing,Minimum wages rate,Actual rate,Higher rate than Minimum wages
1,Pramod Fiberts Industries,Plastic Industry rate,561,575,14
2,Pelicans,Automobile rates,560,560,0
3,Infiiloom India,Textile industry,559,574,15
4,Parle biscuits Pvt ltd,Bakery industry,527,550,23
5,Delta Finochem India,Pharma industry,618,618,0
6,Samsonite india,Plastic Industry rate,561,590,29
7,Chandni textile,Textile industry,559,559,0
8,Mahindra Accelo,Engineering,582,582,0
9,Shalimar paint,Paint industry,482,482,0
10,Paper mill,Paper industry,542,542,0
11,Lear Automation,Automobile rates,560,600,40
12,Legrand Wires,Engineering,582,582,0
13,Monier Roofing,Bricks & tile industry,508,508,0
